id,name,city,description,tags,season,nature,vibe,target,pet_friendly
43,인제 자작나무 숲,인제,"하얀 자작나무들이 펼쳐진 숲길로, 사진 촬영 명소입니다.","사계절, 자연, 산책, 감성",사계절,산,"감성, 산책",,
44,대관령 삼양목장,평창,"광활한 초원과 풍력발전기가 어우러진 목장으로, 자연을 만끽할 수 있습니다.","여름, 자연, 목장, 가족, 힐링",여름,자연,힐링,가족,
45,원주 소금산 출렁다리,원주,스릴 넘치는 출렁다리와 아름다운 산세를 감상할 수 있는 명소입니다.,"사계절, 산, 액티비티, 감성",사계절,산,"감성, 액티비티",,
46,정선 레일바이크,정선,"폐선을 활용한 레일바이크 체험으로, 자연 속에서 색다른 즐거움을 느낄 수 있습니다.","사계절, 액티비티, 가족, 감성",사계절,산,"감성, 액티비티",가족,
47,양양 서피비치,양양,"국내 서핑의 메카로, 여름철 서핑과 해변 문화를 즐길 수 있는 곳입니다.","여름, 바다, 액티비티, 감성, 연인",여름,바다,"감성, 액티비티",연인,
48,삼척 해상케이블카,삼척,"바다 위를 가로지르는 케이블카로, 이색적인 풍경을 감상할 수 있습니다.","사계절, 바다, 액티비티, 감성",사계절,바다,"감성, 액티비티",,
49,추암 촛대바위,동해,"일출 명소로 유명한 해안 절경지로, 독특한 바위 형상이 인상적입니다.","사계절, 바다, 감성, 산책",사계절,바다,"감성, 산책",,
50,영금정,속초,"바다 위에 세워진 정자로, 일출과 일몰을 감상하기 좋은 장소입니다.","사계절, 바다, 감성, 산책",사계절,바다,"감성, 산책",,
51,속초아이,속초,대관람차를 타고 속초의 바다와 도심을 한눈에 볼 수 있는 명소입니다.,"사계절, 바다, 감성, 가족",사계절,바다,감성,가족,
52,비발디파크,홍천,"사계절 종합 리조트로, 겨울에는 스키와 보드를, 여름에는 워터파크를 즐길 수 있습니다.","사계절, 스키, 액티비티, 가족",사계절,산,액티비티,가족,
53,하이원 리조트,정선,"고급 리조트로, 겨울철 스키와 다양한 레저 시설을 제공합니다.","겨울, 스키, 액티비티, 가족",겨울,산,액티비티,가족,
54,휘닉스 평창,평창,"2018 평창 동계올림픽 개최지로, 다양한 겨울 스포츠를 즐길 수 있습니다.","겨울, 스키, 액티비티, 가족",겨울,산,액티비티,가족,
55,엘리시안 강촌,춘천,"가족 단위 여행객에게 적합한 스키 리조트로, 다양한 코스를 제공합니다.","겨울, 스키, 액티비티, 가족",겨울,산,액티비티,가족,
56,알펜시아 리조트,평창,"스키장과 워터파크를 갖춘 복합 리조트로, 사계절 내내 즐길 거리가 풍부합니다.","사계절, 스키, 액티비티, 가족",사계절,산,액티비티,가족,
57,아르떼뮤지엄 강릉,강릉,미디어 아트 전시를 통해 예술과 기술이 결합된 감성 공간입니다.,"사계절, 예술, 감성, 실내",사계절,,감성,,
58,선교장,강릉,조선시대 상류층의 생활을 엿볼 수 있는 전통 한옥입니다.,"사계절, 전통, 감성, 가족",사계절,,감성,가족,
59,강릉 단오제,강릉,"유네스코 인류무형문화유산으로 지정된 전통 축제로, 다양한 문화 행사가 열립니다.","여름, 전통, 축제, 가족",여름,,감성,가족,
60,정선 아리랑제,정선,"전통 음악과 춤을 즐길 수 있는 축제로, 지역의 문화와 역사를 체험할 수 있습니다.","가을, 전통, 축제, 감성",가을,,감성,,
