name,season,nature,vibe,target,fee,parking,address,open_time,latitude,longitude,full_address,short_description,nature_list,vibe_list,target_list,enhanced_description
강릉 선교장,사계절,"산, 호수",역사,,무료,가능,강원특별자치도 강릉시 운정길 63(운정동),"- 하절기 09:00~18:00<br>
- 동절기 09:00~17:00",37.78655887,128.8850778,강원특별자치도 강릉시 운정길 63(운정동),강릉 선교장은는 사계절에 특히 아름다워 산 경관이 뛰어나며 역사 분위기로 모두에게 추천됩니다,"['산', '호수']",['역사'],[],"강릉 선교장은는 사계절에 특히 아름다워 산 경관이 뛰어나며 역사 분위기로 모두에게 추천됩니다 이곳은 사계절에 특히 아름답습니다. 산, 호수 경관을 즐길 수 있습니다. 역사 분위기로 좋습니다."
고성 왕곡마을,사계절,"산, 자연","액티비티, 역사, 힐링",가족,무료,가능,강원특별자치도 고성군 왕곡마을길 41,숙박 14:00~익일 11:00,38.34059811,128.4995816,강원특별자치도 고성군 왕곡마을길 41,고성 왕곡마을은는 사계절에 특히 아름다워 산 경관이 뛰어나며 액티비티 분위기로 가족에게 추천됩니다,"['산', '자연']","['액티비티', '역사', '힐링']",['가족'],"고성 왕곡마을은는 사계절에 특히 아름다워 산 경관이 뛰어나며 액티비티 분위기로 가족에게 추천됩니다 이곳은 사계절에 특히 아름답습니다. 산, 자연 경관을 즐길 수 있습니다. 액티비티, 역사, 힐링 분위기로 좋습니다. 가족에게 추천합니다."
설악산 울산바위,사계절,"산, 호수",산책,가족,정보없음,가능,강원특별자치도 속초시 설악산로 1091,"- 동절기 04:00~12:00<br>
- 하절기 03:00~14:00",38.18693482,128.4664783,강원특별자치도 속초시 설악산로 1091,설악산 울산바위은는 사계절에 특히 아름다워 산 경관이 뛰어나며 산책 분위기로 가족에게 추천됩니다,"['산', '호수']",['산책'],['가족'],"설악산 울산바위은는 사계절에 특히 아름다워 산 경관이 뛰어나며 산책 분위기로 가족에게 추천됩니다 이곳은 사계절에 특히 아름답습니다. 산, 호수 경관을 즐길 수 있습니다. 산책 분위기로 좋습니다. 가족에게 추천합니다."
두타연 (강원평화지역 국가지질공원),사계절,"산, 호수",산책,,무료,가능,강원특별자치도 양구군 방산면 두타연로 297,09:00~15:00 (접수 마감 14:30),38.24684076,127.981715,강원특별자치도 양구군 방산면 두타연로 297,두타연 강원평화지역 국가지질공원은는 사계절에 특히 아름다워 산 경관이 뛰어나며 산책 분위기로 모두에게 추천됩니다,"['산', '호수']",['산책'],[],"두타연 강원평화지역 국가지질공원은는 사계절에 특히 아름다워 산 경관이 뛰어나며 산책 분위기로 모두에게 추천됩니다 이곳은 사계절에 특히 아름답습니다. 산, 호수 경관을 즐길 수 있습니다. 산책 분위기로 좋습니다."
천곡황금박쥐동굴,사계절,"자연, 호수","산책, 액티비티, 힐링",가족,정보없음,가능,강원특별자치도 동해시 동굴로 50,"- 평시 08:30~18:00 (입장 마감 17:30)<br>
- 성수기 08:30~19:30 (입장 마감 19:00)",37.51740267,129.1097937,강원특별자치도 동해시 동굴로 50,천곡황금박쥐동굴은는 사계절에 특히 아름다워 자연 경관이 뛰어나며 산책 분위기로 가족에게 추천됩니다,"['자연', '호수']","['산책', '액티비티', '힐링']",['가족'],"천곡황금박쥐동굴은는 사계절에 특히 아름다워 자연 경관이 뛰어나며 산책 분위기로 가족에게 추천됩니다 이곳은 사계절에 특히 아름답습니다. 자연, 호수 경관을 즐길 수 있습니다. 산책, 액티비티, 힐링 분위기로 좋습니다. 가족에게 추천합니다."
모나용평,겨울,"산, 자연, 호수","사진명소, 스릴, 힐링",친구,정보없음,정보없음,강원특별자치도 평창군 대관령면 올림픽로 715,,37.65099884,128.7055815,강원특별자치도 평창군 대관령면 올림픽로 715,모나용평은는 겨울에 특히 아름다워 산 경관이 뛰어나며 사진명소 분위기로 친구에게 추천됩니다,"['산', '자연', '호수']","['사진명소', '스릴', '힐링']",['친구'],"모나용평은는 겨울에 특히 아름다워 산 경관이 뛰어나며 사진명소 분위기로 친구에게 추천됩니다 이곳은 겨울에 특히 아름답습니다. 산, 자연, 호수 경관을 즐길 수 있습니다. 사진명소, 스릴, 힐링 분위기로 좋습니다. 친구에게 추천합니다."
동강(영월),봄,"산, 호수","사진명소, 액티비티, 역사",가족,무료,가능,"강원특별자치도 영월군 영월읍 동강로 826(영월읍, 동강래프팅) 일대",상시 개방,37.20799903,128.5128232,"강원특별자치도 영월군 영월읍 동강로 826(영월읍, 동강래프팅) 일대",동강영월은는 봄에 특히 아름다워 산 경관이 뛰어나며 사진명소 분위기로 가족에게 추천됩니다,"['산', '호수']","['사진명소', '액티비티', '역사']",['가족'],"동강영월은는 봄에 특히 아름다워 산 경관이 뛰어나며 사진명소 분위기로 가족에게 추천됩니다 이곳은 봄에 특히 아름답습니다. 산, 호수 경관을 즐길 수 있습니다. 사진명소, 액티비티, 역사 분위기로 좋습니다. 가족에게 추천합니다."
난고 김삿갓 유적지,여름,"산, 자연, 호수",역사,가족,무료,가능,강원특별자치도 영월군 김삿갓로 216-22 난고김삿삿문학원,09:00~18:00,37.07954327,128.6017552,강원특별자치도 영월군 김삿갓로 216-22 난고김삿삿문학원,난고 김삿갓 유적지은는 여름에 특히 아름다워 산 경관이 뛰어나며 역사 분위기로 가족에게 추천됩니다,"['산', '자연', '호수']",['역사'],['가족'],"난고 김삿갓 유적지은는 여름에 특히 아름다워 산 경관이 뛰어나며 역사 분위기로 가족에게 추천됩니다 이곳은 여름에 특히 아름답습니다. 산, 자연, 호수 경관을 즐길 수 있습니다. 역사 분위기로 좋습니다. 가족에게 추천합니다."
김삿갓 계곡,여름,"산, 자연, 호수","역사, 힐링","가족, 친구",무료,가능,강원특별자치도 영월군 김삿갓면 와석리,상시 개방,37.12051091,128.6085978,강원특별자치도 영월군 김삿갓면 와석리,김삿갓 계곡은는 여름에 특히 아름다워 산 경관이 뛰어나며 역사 분위기로 가족 친구에게 추천됩니다,"['산', '자연', '호수']","['역사', '힐링']","['가족', '친구']","김삿갓 계곡은는 여름에 특히 아름다워 산 경관이 뛰어나며 역사 분위기로 가족 친구에게 추천됩니다 이곳은 여름에 특히 아름답습니다. 산, 자연, 호수 경관을 즐길 수 있습니다. 역사, 힐링 분위기로 좋습니다. 가족, 친구에게 추천합니다."
봉정암(인제),여름,"산, 자연","산책, 역사",,무료,가능,강원특별자치도 인제군 북면 백담로 1700,상시 개방,38.1282524,128.4477485,강원특별자치도 인제군 북면 백담로 1700,봉정암인제은는 여름에 특히 아름다워 산 경관이 뛰어나며 산책 분위기로 모두에게 추천됩니다,"['산', '자연']","['산책', '역사']",[],"봉정암인제은는 여름에 특히 아름다워 산 경관이 뛰어나며 산책 분위기로 모두에게 추천됩니다 이곳은 여름에 특히 아름답습니다. 산, 자연 경관을 즐길 수 있습니다. 산책, 역사 분위기로 좋습니다."
송지호 해안 서낭바위 (강원평화지역 국가지질공원),여름,"바다, 호수","산책, 역사",,무료,가능,강원특별자치도 고성군 죽왕면 오호리29-47,상시 개방,38.32765855,128.5302264,강원특별자치도 고성군 죽왕면 오호리29-47,송지호 해안 서낭바위 강원평화지역 국가지질공원은는 여름에 특히 아름다워 바다 경관이 뛰어나며 산책 분위기로 모두에게 추천됩니다,"['바다', '호수']","['산책', '역사']",[],"송지호 해안 서낭바위 강원평화지역 국가지질공원은는 여름에 특히 아름다워 바다 경관이 뛰어나며 산책 분위기로 모두에게 추천됩니다 이곳은 여름에 특히 아름답습니다. 바다, 호수 경관을 즐길 수 있습니다. 산책, 역사 분위기로 좋습니다."
설악산 국립공원(외설악),겨울,"바다, 산, 자연, 호수","사진명소, 산책, 힐링",가족,정보없음,가능,강원특별자치도 속초시 설악동114-2,,38.17240372,128.4944401,강원특별자치도 속초시 설악동114-2,설악산 국립공원외설악은는 겨울에 특히 아름다워 바다 경관이 뛰어나며 사진명소 분위기로 가족에게 추천됩니다,"['바다', '산', '자연', '호수']","['사진명소', '산책', '힐링']",['가족'],"설악산 국립공원외설악은는 겨울에 특히 아름다워 바다 경관이 뛰어나며 사진명소 분위기로 가족에게 추천됩니다 이곳은 겨울에 특히 아름답습니다. 바다, 산, 자연, 호수 경관을 즐길 수 있습니다. 사진명소, 산책, 힐링 분위기로 좋습니다. 가족에게 추천합니다."
별마로천문대,사계절,산,감성,연인,무료,가능,강원특별자치도 영월군 영월읍 천문대길 397(영월읍),"- 하절기(4월~9월)  15:00~23:00 (매표마감 21:50)<br>
- 동절기(10월~3월) 14:00~22:00 (매표마감 20:50)<br>
※ 사전 예약제로 운영",37.19787748,128.4865953,강원특별자치도 영월군 영월읍 천문대길 397(영월읍),별마로천문대은는 사계절에 특히 아름다워 산 경관이 뛰어나며 감성 분위기로 연인에게 추천됩니다,['산'],['감성'],['연인'],별마로천문대은는 사계절에 특히 아름다워 산 경관이 뛰어나며 감성 분위기로 연인에게 추천됩니다 이곳은 사계절에 특히 아름답습니다. 산 경관을 즐길 수 있습니다. 감성 분위기로 좋습니다. 연인에게 추천합니다.
국립 미천골자연휴양림,여름,"산, 자연, 호수","액티비티, 역사, 힐링",가족,3000원,가능,강원특별자치도 양양군 서면 미천골길 115미천골자연휴양림,"- 자연휴양림 09:00~18:00<br>
- 숙박시설 15:00~익일11:00<br>
- 야영장 14:00~익일11:00",37.94899947,128.5120426,강원특별자치도 양양군 서면 미천골길 115미천골자연휴양림,국립 미천골자연휴양림은는 여름에 특히 아름다워 산 경관이 뛰어나며 액티비티 분위기로 가족에게 추천됩니다,"['산', '자연', '호수']","['액티비티', '역사', '힐링']",['가족'],"국립 미천골자연휴양림은는 여름에 특히 아름다워 산 경관이 뛰어나며 액티비티 분위기로 가족에게 추천됩니다 이곳은 여름에 특히 아름답습니다. 산, 자연, 호수 경관을 즐길 수 있습니다. 액티비티, 역사, 힐링 분위기로 좋습니다. 가족에게 추천합니다."
미시령계곡,여름,"산, 자연",힐링,가족,정보없음,가능,강원특별자치도 인제군 북면 용대리,,38.21975762,128.4067244,강원특별자치도 인제군 북면 용대리,미시령계곡은는 여름에 특히 아름다워 산 경관이 뛰어나며 힐링 분위기로 가족에게 추천됩니다,"['산', '자연']",['힐링'],['가족'],"미시령계곡은는 여름에 특히 아름다워 산 경관이 뛰어나며 힐링 분위기로 가족에게 추천됩니다 이곳은 여름에 특히 아름답습니다. 산, 자연 경관을 즐길 수 있습니다. 힐링 분위기로 좋습니다. 가족에게 추천합니다."
오색탄산온천,사계절,"산, 호수","산책, 힐링",가족,무료,가능,강원특별자치도 양양군 서면 대청봉길 34,"- 평일 06:00~22:00<br>
- 주말 06:00~23:00<br>
※ 이용시간은 변동될 수 있으므로 홈페이지 참고",38.08077459,128.4480249,강원특별자치도 양양군 서면 대청봉길 34,오색탄산온천은는 사계절에 특히 아름다워 산 경관이 뛰어나며 산책 분위기로 가족에게 추천됩니다,"['산', '호수']","['산책', '힐링']",['가족'],"오색탄산온천은는 사계절에 특히 아름다워 산 경관이 뛰어나며 산책 분위기로 가족에게 추천됩니다 이곳은 사계절에 특히 아름답습니다. 산, 호수 경관을 즐길 수 있습니다. 산책, 힐링 분위기로 좋습니다. 가족에게 추천합니다."
남이섬,사계절,"섬, 자연, 호수","역사, 힐링","가족, 연인, 친구",정보없음,가능,강원특별자치도 춘천시 남이섬길 1 남이섬,"[선박운항]<br>
- 08:00~09:00 / 30분 간격(가평나루 출발-첫 배 이후 30분 간격 운항)<br>
- 09:00~18:00 / 10~20분 간격(매 10~20분 간격 운항)<br>
- 18:00~21:00 / 30분 간격(가평나루 출발-마지막 배까지 30분 간격 운항)<br>
※ 상황에 따라 운영시간 변동 가능 (봄꽃철 / 휴가철 / 단풍철 연장운항)",37.79632082,127.525509,강원특별자치도 춘천시 남이섬길 1 남이섬,남이섬은는 사계절에 특히 아름다워 섬 경관이 뛰어나며 역사 분위기로 가족 연인 친구에게 추천됩니다,"['섬', '자연', '호수']","['역사', '힐링']","['가족', '연인', '친구']","남이섬은는 사계절에 특히 아름다워 섬 경관이 뛰어나며 역사 분위기로 가족 연인 친구에게 추천됩니다 이곳은 사계절에 특히 아름답습니다. 섬, 자연, 호수 경관을 즐길 수 있습니다. 역사, 힐링 분위기로 좋습니다. 가족, 연인, 친구에게 추천합니다."
국립 복주산자연휴양림,여름,"산, 자연, 호수","산책, 액티비티, 역사, 조용한, 힐링",가족,정보없음,가능,강원특별자치도 철원군 근남면 하오재로 818,"[숙박시설] <br> 
15:00~익일 11:00 <br> 
[일일개장] <br> 
09:00~18:00",38.14375436,127.4732202,강원특별자치도 철원군 근남면 하오재로 818,국립 복주산자연휴양림은는 여름에 특히 아름다워 산 경관이 뛰어나며 산책 분위기로 가족에게 추천됩니다,"['산', '자연', '호수']","['산책', '액티비티', '역사', '조용한', '힐링']",['가족'],"국립 복주산자연휴양림은는 여름에 특히 아름다워 산 경관이 뛰어나며 산책 분위기로 가족에게 추천됩니다 이곳은 여름에 특히 아름답습니다. 산, 자연, 호수 경관을 즐길 수 있습니다. 산책, 액티비티, 역사, 조용한, 힐링 분위기로 좋습니다. 가족에게 추천합니다."
박경리문학공원,사계절,산,"감성, 사진명소, 산책, 액티비티, 역사","가족, 연인",무료,가능,강원특별자치도 원주시 토지길 1 (단구동),10:00~17:00 (점심시간 12:00~13:00),37.32287263,127.9597585,강원특별자치도 원주시 토지길 1 (단구동),박경리문학공원은는 사계절에 특히 아름다워 산 경관이 뛰어나며 감성 분위기로 가족 연인에게 추천됩니다,['산'],"['감성', '사진명소', '산책', '액티비티', '역사']","['가족', '연인']","박경리문학공원은는 사계절에 특히 아름다워 산 경관이 뛰어나며 감성 분위기로 가족 연인에게 추천됩니다 이곳은 사계절에 특히 아름답습니다. 산 경관을 즐길 수 있습니다. 감성, 사진명소, 산책, 액티비티, 역사 분위기로 좋습니다. 가족, 연인에게 추천합니다."
장호어촌체험마을,여름,"바다, 섬, 호수","사진명소, 산책, 액티비티",가족,정보없음,가능,강원특별자치도 삼척시 근덕면 장호항길 62,09:00~17:30<br>※ 시기 및 프로그램별로 상이하므로 홈페이지 참조,37.28609726,129.3182738,강원특별자치도 삼척시 근덕면 장호항길 62,장호어촌체험마을은는 여름에 특히 아름다워 바다 경관이 뛰어나며 사진명소 분위기로 가족에게 추천됩니다,"['바다', '섬', '호수']","['사진명소', '산책', '액티비티']",['가족'],"장호어촌체험마을은는 여름에 특히 아름다워 바다 경관이 뛰어나며 사진명소 분위기로 가족에게 추천됩니다 이곳은 여름에 특히 아름답습니다. 바다, 섬, 호수 경관을 즐길 수 있습니다. 사진명소, 산책, 액티비티 분위기로 좋습니다. 가족에게 추천합니다."
